leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xangle,time,nansec,diftime
50,34,20,67,42,81,102,99,30,19,54,13,9.86694299027837,1709574182.8071873,1709574182807187200,28884434200
50,41,28,83,25,71,105,77,34,45,50,21,6.795188972871536,1709574182.9888494,1709574182988849400,29066096400
34,20,66,89,23,58,106,65,26,57,35,45,7.800679054341199,1709574183.169447,1709574183169447000,29246694000
48,26,58,86,26,51,107,79,34,48,26,29,8.753753445594144,1709574183.3530018,1709574183353001700,29430248700
46,23,71,88,28,60,113,91,35,56,26,32,9.09569965138001,1709574183.5397768,1709574183539776800,29617023800
43,27,68,89,20,66,110,92,28,26,29,13,7.513355750590787,1709574183.7402837,1709574183740283700,29817530700
46,30,73,74,18,60,105,85,28,29,21,65,6.41909890065645,1709574183.9388278,1709574183938827900,30016074900
50,55,63,73,42,45,116,67,55,18,15,105,5.933838017432433,1709574184.131312,1709574184131311800,30208558800
54,66,55,70,35,44,105,44,38,50,20,85,6.941171762958074,1709574184.3290842,1709574184329084100,30406331100
52,87,50,57,41,33,107,39,56,47,24,54,7.300296672768931,1709574184.512383,1709574184512383000,30589630000
48,82,50,41,46,35,110,49,52,35,24,35,7.275757654948456,1709574184.7466114,1709574184746611400,30823858400
49,77,52,34,45,31,107,41,41,47,21,30,5.334531927636107,1709574184.9462836,1709574184946283600,31023530600
51,80,50,43,46,32,110,41,41,49,23,41,5.6487687065820955,1709574185.1365075,1709574185136507300,31213754300
48,74,51,47,45,25,111,48,37,52,20,30,3.7686184757130956,1709574185.3384397,1709574185338439800,31415686800
47,73,48,49,50,24,119,49,35,54,18,25,5.41454557369587,1709574185.536005,1709574185536005200,31613252200
56,58,36,23,46,12,127,74,33,57,20,31,5.4594835507401624,1709574185.7342806,1709574185734280700,31811527700
52,53,39,25,53,11,128,79,35,57,28,23,4.87248022536161,1709574185.949448,1709574185949448100,32026695100
44,63,44,19,60,10,133,83,33,52,26,22,5.431231594864211,1709574186.1499119,1709574186149911900,32227158900
42,71,47,27,60,8,132,82,27,51,26,27,6.755603744033373,1709574186.3644178,1709574186364417700,32441664700
45,71,40,30,59,12,134,88,28,50,20,5,6.798126734846074,1709574186.5748413,1709574186574841400,32652088400
46,71,41,51,56,8,131,96,35,50,22,8,7.515809137899245,1709574186.7705786,1709574186770578800,32847825800
38,61,41,55,54,5,130,91,81,51,30,20,7.662840840769419,1709574186.9672022,1709574186967202200,33044449200
28,58,40,57,56,21,130,135,61,38,25,16,7.070691913765192,1709574187.1721237,1709574187172123600,33249370600
32,50,39,58,51,15,120,96,55,37,23,25,10.71827436088554,1709574187.3687227,1709574187368722600,33445969600
41,49,37,54,50,25,111,91,54,37,29,20,7.252155670814701,1709574187.571562,1709574187571562100,33648809100
55,43,31,54,48,43,105,100,63,45,29,28,5.068342765634763,1709574187.7742527,1709574187774252600,33851499600
55,27,25,59,50,42,105,101,61,44,12,32,6.1608070072625045,1709574187.9736645,1709574187973664500,34050911500
51,19,30,63,51,38,102,101,50,45,14,38,6.022463268672927,1709574188.1765778,1709574188176577800,34253824800
50,25,29,64,52,43,104,105,64,45,10,34,6.173564495911185,1709574188.3744078,1709574188374407800,34451654800
52,15,29,74,57,59,111,115,54,37,9,31,6.163930805920257,1709574188.5866048,1709574188586604800,34663851800
